481;253220310;MOŃKI;Nereśl (2618)
482;250160840;SZALEJÓW GÓRNY;Bystrzyca Dusznicka (1218)
483;254220090;OLECKO;Jez. Olecko Wielkie (2626139)
484;250200380;BIELINY PODUCHOWNE;Czarna Nida (2164)
485;249200910;MORSKIE OKO;Rybi Potok (2141542)
486;249190850;RYCERKA GÓRNA;Soła (2132)
487;249190860;SOBLÓWKA;Soła (2132)
488;249190870;ŚLEMIEŃ;Soła (2132)
489;254160020;DARŁOWO;Wieprza (46)
490;250190380;BIERUŃ STARY;Mleczna (21188)
491;251210040;JARCZEW;Wilga (2536)
492;254180260;GDAŃSK-PORT PÓŁNOCNY;Bałtyk (0)
493;249201010;SIERCZA;Wisła (2)
494;249190820;KOSZARAWA;Soła (2132)
495;249190830;KOŚCIELISKO-KIRY;Kirowa Woda (214112)
496;249190840;RAJCZA;Soła (2132)
497;252150180;LUBINICKO-ŚWIEBODZIN;Obrzyca (156)
498;252190160;WALEWICE;Bzura (272)
499;253230180;DRAHLE;Sokołda (26162)
500;253150250;DRAWNO;Drawa (1888)
501;251180330;DZIAŁOSZYN;Warta (18)
502;251180310;KIEŁCZYGŁÓW;Nieciecz (18292)
503;251180320;KRASZEWICE;Łużyca (18438)
504;252170330;NOWA WIEŚ PODGÓRNA;Warta (18)
505;251170360;OSTRÓW WIELKOPOLSKI;Ołobok (1844)
506;251190210;SZCZERCÓW;Widawka (182)
507;252180290;TULISZKÓW;Powa (18352)
508;250150510;MIRSK;Czarny Potok (16632)
509;253150190;PRZELEWICE;Płonia (1976)
510;252170190;SŁUPCA;Warta (18)
511;250160360;TARNÓW;Budzówka (1232)
512;254190190;ELBLĄG;Elbląg (54)
513;250230170;JĘDRZEJÓWKA;Tanew (228)
514;253190310;KULIGI;Wel (286)
515;249190810;KALWARIA ZEBRZYDOWSKA;Skawinka (21356)
516;253160090;WIERZCHOWO;Drawa (1888)
517;251210120;PUŁAWY;Wisła (2)
518;252230250;ZAMOSZE;Narew (26)
519;251160320;RADZYŃ;Obrzyca (156)
520;250210040;NOWA SŁUPIA;Pokrzywianka (23484)
521;253220330;MARIANOWO II;Narew (26)
522;251190190;ŁASK;Grabia (1828)
523;252180310;RADOSZEWICE;Noteć (188)
524;249180410;ISTEBNA-WIEŚ;Olza (114)
525;251230120;BEZEK;Wieprz (24)
526;253210350;TYSZKI-WĄDOŁOWO;Skroda (26498)
527;251190230;JAROSTY;Luciąża (25452)
528;254190230;ROGITY;Pasłęka (56)
529;250190520;TYCHY;Gostynia (2118)
530;249200920;PIWNICZNA;Poprad (2142)
531;250200360;DĄBROWA TARNOWSKA;Breń (2174)
532;254170040;KARŻNICZKA;Łupawa (474)
533;252200120;LEGIONOWO;Wisła (2)
534;252190030;GŁODOWO;Mień (2794)
535;252230190;CICIBÓR;Krzna (2664)
536;249180390;BRENNA-LEŚNICA;Leśnica (211146)
537;250180330;ŁABĘDY;Kłodnica (116)
538;254180090;GDAŃSK-RĘBIECHOWO;
539;250180580;DRONIOWICE;Liswarta (1816)
540;251180350;SIERADZ-DZIGORZEW;Warta (18)
541;249190890;RADZIECHOWY ;Soła (2132)
542;252200150;WARSZAWA-BIELANY;Wisła (2)
543;249180530;ISTEBNA-STECÓWKA;Olza (114)
544;251140110;SANICE;Nysa Łużycka (174)
545;253210370;ŚWIĘTAJNO;Narew (26)
546;251170380;WOLA KSIĄŻĘCA;Lutynia (1852)
547;252230240;NAREWKA;Narewka (2612)
548;249180520;RUDZICA;Iłownica (2112)
549;249200960;NOWY TARG-KOWANIEC;Dunajec (214)
550;252230230;NAREW;Narew (26)
551;253210290;PTAKI;Pisa (264)
